*nodes
Id;Label;Type;Value;Unit
"mtg";"Mempool-TrieGuard";"system";"";""
"replay";"Ethereum replay benchmark";"experiment";"34905969";"rows"
"rq1";"RQ1 detection quality";"result";"0.978229";"F1"
"rq2";"RQ2 lookup cost";"result";"40.36";"x faster than linear scan"
"rq3";"RQ3 feature ablation";"result";"2.33";"delta F1 x1e-5 over address-only"
"rq4";"RQ4 pending visibility simulation";"result";"0.478557";"recall at 50% loss"
"live";"Six-hour live provider-feed run";"experiment";"813092";"pending messages"
"detector";"Detector p99 latency";"metric";"0.016519089999999965";"ms"
"lookup";"Lookup p99 latency";"metric";"0.023419989999999846";"ms"
"inter_p50";"Pending inter-arrival p50";"metric";"1.939635";"ms"
"inter_p99";"Pending inter-arrival p99";"metric";"339.68425999999977";"ms"
"message";"Message-channel acceptance p99";"metric";"956.2082023999999";"ms"
"visibility_all";"All included visibility loss";"metric";"43.00287572465427";"%"
"visibility_erc20";"ERC-20 visibility loss";"metric";"24.21011571967234";"%"

*edges
Id;Id;Relation
"mtg";"replay";"evaluated_on"
"mtg";"live";"evaluated_on"
"replay";"rq1";"supports"
"replay";"rq2";"supports"
"replay";"rq3";"supports"
"replay";"rq4";"supports"
"live";"detector";"measures"
"live";"lookup";"measures"
"live";"inter_p50";"measures"
"live";"inter_p99";"measures"
"live";"message";"measures"
"live";"visibility_all";"estimates"
"live";"visibility_erc20";"estimates"
"detector";"inter_p50";"compared_with"
"detector";"inter_p99";"compared_with"
