observed_at,block_timestamp,block_number,block_hash,tx_total,tx_seen_pending,erc20_transfer_total,erc20_transfer_seen_pending,pending_to_block_timestamp_lead_mean_ms,pending_to_block_timestamp_lead_p50_ms,pending_to_block_timestamp_lead_p95_ms,pending_to_block_timestamp_lead_p99_ms
2026-06-19T03:14:40.203822793Z,2026-06-19T03:14:35Z,25348862,0x7cc80834c513001d694738e92982fb1b2a7ef6c42043c41c6cc5ebb5ec0e7234,342,127,71,56,9336.686133,5231.697701,43196.351662,54545.975385
2026-06-19T03:14:53.572813768Z,2026-06-19T03:14:47Z,25348863,0x2fda5011d6a7a08284818a322e16c42b55fe979d419f7a8570e37966e97a7528,359,107,66,58,4605.887027,5387.603808,9582.797125,10503.631310
2026-06-19T03:15:03.506717132Z,2026-06-19T03:14:59Z,25348864,0x3e8c26343b842420f57469e316f1771e8376f8452a6af3e6ef793e834898c513,436,159,45,34,3481.918428,3020.070815,9803.805512,10492.746950
2026-06-19T03:15:13.71355918Z,2026-06-19T03:15:11Z,25348865,0x238529408239519c003be1c9a52739a51280f0bb78fbb11c005a2953e8b2c49d,380,141,78,76,4983.812652,4580.377459,9281.617681,9281.756064
2026-06-19T03:15:39.147835797Z,2026-06-19T03:15:23Z,25348866,0xe4965cfa53d38a5f839ef73a199f3d4f6eb024c07b5440ae43dfbe2a1a582d7e,35,1,0,0,2605.648292,2605.648292,2605.648292,2605.648292
2026-06-19T03:15:39.148165173Z,2026-06-19T03:15:35Z,25348867,0x8d3385226f7cc2c83ac3f3ef969a193c66d2eb050903ad01ad3447535d812c4d,52,11,3,3,9744.756350,10658.939215,17794.922266,20543.552169
2026-06-19T03:15:53.689998127Z,2026-06-19T03:15:47Z,25348868,0xc9097b1d818da583febc6e716c90998b45d8a380ac2e0c372c499224cfc5ea02,104,5,0,0,5633.694697,663.215880,21445.725777,25573.903527
2026-06-19T03:16:03.700130546Z,2026-06-19T03:15:59Z,25348869,0x601041c131ca4c69ad517ac1e6710588fe697dc6666a28f5c6d9bedfff942b14,72,8,1,0,22283.292011,24227.016502,37920.622279,38468.511797
2026-06-19T03:16:18.508663225Z,2026-06-19T03:16:11Z,25348870,0x49eadf0793915755a8ceee12c67a0e8d9e22605598e2635031b302b17dbee73e,555,310,269,188,26657.879647,26145.781450,55199.764479,57659.013718
2026-06-19T03:16:28.68572932Z,2026-06-19T03:16:23Z,25348871,0x03b5d3ee660cc0979143a505eb3c2d265ec603751fcf6de82ac7e6ed1866b176,207,72,74,38,5842.518901,6003.778183,11354.529792,19310.819450
2026-06-19T03:16:43.510099217Z,2026-06-19T03:16:35Z,25348872,0x77a6f401ed727f3b5a46b125d69ae899d9f299d4f5c7975885363edd92ef510e,324,186,47,36,29367.419868,16356.106928,81285.159916,82018.624126
2026-06-19T03:16:53.722060808Z,2026-06-19T03:16:47Z,25348873,0x00636b59f68bd4b6f34fd2a6061334548efff76ab674b6c0ddd5977befb9e0ab,261,92,134,38,4844.431622,5453.998670,9109.736804,10636.454811
2026-06-19T03:17:03.516363789Z,2026-06-19T03:16:59Z,25348874,0x3b1d811a2fce8baba28cbb47bddc708391e8779b5269d3986695579486289d83,380,247,88,67,41012.350795,25046.454926,105168.134420,115982.601816
2026-06-19T03:17:13.470049009Z,2026-06-19T03:17:11Z,25348875,0x1089d90a9a022b9cb5393004e821891e21fbc7b27b0e226d03dd250b64893fd9,226,97,120,64,4990.596151,5215.919806,10258.044583,10678.468573
2026-06-19T03:17:28.432466891Z,2026-06-19T03:17:23Z,25348876,0x254b47508f023301c1e6e52c2078200979f783fa2e577a0b7abc8554c7f54adf,83,33,25,22,4800.331511,4191.759645,10526.726849,10857.371343
2026-06-19T03:17:38.541868085Z,2026-06-19T03:17:35Z,25348877,0x24aa1abec7f7aa409ddf53086d973bebb5a5cd6b4b638956ce38d2efbed55aaa,578,230,112,93,13221.444822,11142.111474,31027.637721,33980.330965
2026-06-19T03:17:53.678078483Z,2026-06-19T03:17:47Z,25348878,0x567ecae129d6e0b5d7c94d8102838cca9b817372e1d69e84b1be0e5abc20fb74,182,50,128,31,5006.647726,6266.029702,9436.832899,10080.890480
2026-06-19T03:18:03.475953072Z,2026-06-19T03:17:59Z,25348879,0x3d4a16c5243c744693163f6a0fa13a2e2218fc236f15c198169fc28bc6e2a6e7,190,119,49,39,12547.774410,9337.621481,40317.005546,40517.478080
2026-06-19T03:18:13.472289702Z,2026-06-19T03:18:11Z,25348880,0x8dca684f2f3f66582a41618decdfcfc08adf5049e55c7bb3b3330e2ea52873e3,205,107,70,51,5025.353982,4571.672434,11276.182950,22646.252786
2026-06-19T03:18:28.506328393Z,2026-06-19T03:18:23Z,25348881,0x903961e303657d5b97796f5e811f0627f3a022a08885bbf2609c99acf362269e,528,115,78,64,7713.797267,6520.175605,19758.780065,41459.596621
2026-06-19T03:18:38.722194552Z,2026-06-19T03:18:35Z,25348882,0x5a057fc9fb58a6c5a4ad956012bedea2f603f373f53495bc346c573cbf06172d,301,145,109,61,11241.520630,6648.112100,51721.692245,58432.091877
2026-06-19T03:18:53.677485115Z,2026-06-19T03:18:47Z,25348883,0xc6ffab3965043c9c331be1b3f5bdc718c299c258c7e3aece0dd8fd0d1e4f60e3,195,59,84,29,5083.192532,5370.136036,9713.594935,11382.942494
2026-06-19T03:19:03.501556134Z,2026-06-19T03:18:59Z,25348884,0x2abc528477c74739694947bab05bc011f49f435bfe4d59a4e899d989a5e1a173,279,122,127,46,7366.893823,6600.703798,18249.477779,21967.998030
2026-06-19T03:19:13.463275967Z,2026-06-19T03:19:11Z,25348885,0x0960346b894b7adcee0d5e4118e34a01a02f18ebc47fce4b392f084bc106ac9c,144,67,81,29,4473.239793,5062.703509,8549.242171,9106.189596
2026-06-19T03:19:28.502723691Z,2026-06-19T03:19:23Z,25348886,0xc2bcc84e5eae33552dccf5585ee2bffbf24a55feda4e39e34ad0c6fa6d0e40b4,321,228,120,98,53298.388975,10112.383924,219223.763484,237888.664807
2026-06-19T03:19:38.469801411Z,2026-06-19T03:19:35Z,25348887,0x3e22e7d32ce2eb59d6ffeb48b69c1ac50d6bdad41e1c364992a760d92f286688,195,83,83,38,5767.189141,4708.320184,11286.971133,17856.972437
2026-06-19T03:19:53.469525716Z,2026-06-19T03:19:47Z,25348888,0x44d0fb741f5e2adff71bd9e45a7cc698648c56d6914347a4dc07c2bc8854e546,153,70,70,36,10495.181162,6738.268347,21789.122910,141912.236153
2026-06-19T03:20:03.644417945Z,2026-06-19T03:19:59Z,25348889,0x30791babb04995e6f3f887cb710a780e76453cb3a2b82576455191f820b9b6e7,83,16,38,8,6268.797692,6622.696105,9642.240216,10181.055142
