run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_00,full_addr_type_token,0.8130000000000001,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_01,full_addr_type_token,0.807,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_02,full_addr_type_token,0.812,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_03,full_addr_type_token,0.898,0.9999108326561775,0.9595676690149012,0.9793239436884594,0.9798282214371818,16663808,1486,702146,17514561,34882001
run_04,full_addr_type_token,0.809,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_05,full_addr_type_token,0.8140000000000001,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_06,full_addr_type_token,0.812,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_07,full_addr_type_token,0.811,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_08,full_addr_type_token,0.8130000000000001,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_09,full_addr_type_token,0.804,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_10,full_addr_type_token,0.808,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_11,full_addr_type_token,0.81,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_12,full_addr_type_token,0.806,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_13,full_addr_type_token,0.81,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_14,full_addr_type_token,0.812,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_15,full_addr_type_token,0.897,0.9999108326561775,0.9595676690149012,0.9793239436884594,0.9798282214371818,16663808,1486,702146,17514561,34882001
run_16,full_addr_type_token,0.8,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_17,full_addr_type_token,0.809,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_18,full_addr_type_token,0.794,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_19,full_addr_type_token,0.799,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_20,full_addr_type_token,0.896,0.9999108326561775,0.9595676690149012,0.9793239436884594,0.9798282214371818,16663808,1486,702146,17514561,34882001
run_21,full_addr_type_token,0.804,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_22,full_addr_type_token,0.809,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_23,full_addr_type_token,0.809,0.9999065727033282,0.9595676690149012,0.9793219005117022,0.9798261860034921,16663808,1557,702146,17514490,34882001
run_24,full_addr_type_token,0.897,0.9999108326561775,0.9595676690149012,0.9793239436884594,0.9798282214371818,16663808,1486,702146,17514561,34882001
